title,genre,producer,country,year,rating_url
The Italian Barber,Комедия,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1911,https://www.imdb.com/title/tt0001709/
The New Superintendent,Драматический фильм,en:Francis Boggs,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0222231/
The '?' Motorist,Фантастика,"Буф, Уолтер",Соединённые Штаты Америки,1906,https://www.imdb.com/title/tt0000534/
The Voice of the Child,Драматический фильм,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1911,https://www.imdb.com/title/tt0001968/
Sweet Memories,Драматический фильм,Томас Инс,Соединённые Штаты Америки,1911,https://www.imdb.com/title/tt0001910/
Princess Clementina,Приключенческий фильм,,,,https://www.imdb.com/title/tt0244149/
Her Awakening,Драматический фильм,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1911,https://www.imdb.com/title/tt0001659/
What the Daisy Said,Мелодрама,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1910,https://www.imdb.com/title/tt0001452/
The Rocky Road,Драматический фильм,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1910,https://www.imdb.com/title/tt0001385/
The Englishman and the Girl,Комедия,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1910,https://www.imdb.com/title/tt0001200/
Энох Арден (фильм),,,,1911,https://www.imdb.com/title/tt0003886/
The Only Son,Драматический фильм,Сесил Б. ДеМилль,Соединённые Штаты Америки,1914,https://www.imdb.com/title/tt0004434/
"The Master Key (киносериал, 1914)",Драматический фильм,Роберт З. Леонард,Соединённые Штаты Америки,1914,https://www.imdb.com/title/tt0004313/
Should a Woman Divorce?,Драматический фильм,en:Edwin McKim,Соединённые Штаты Америки,1914,https://www.imdb.com/title/tt0004591/
The Master Mind,Драматический фильм,Оскар Апфель (страница отсутствует),Соединённые Штаты Америки,1914,https://www.imdb.com/title/tt0004314/
The Amateur Detective,Комедия,Кэрролл Флеминг (страница отсутствует),Соединённые Штаты Америки,1914,https://www.imdb.com/title/tt0003614/
